input1,input2,y_true_1,y_true_2,model1_out1,model1_out2,model2_out1,model2_out2
12.0,0.1,-0.9613621243090809,-0.6303527034427039,-1.5875112273068366,-4.223533141962516,-1.7492474552317874,-0.3554648517984743
12.0,0.2,-0.8578653079726584,-1.2493249167530418,-1.4168093754929805,-4.3128660430636065,-1.7619910535902585,-0.35769786402076775
12.0,0.30000000000000004,-0.7662735193524306,-1.8455361497986487,-1.2584818599012224,-4.397071880308806,-1.7927027533042907,-0.3600829034940977
12.0,0.4,-0.6836909408958102,-2.4076059124471576,-1.1155093134508745,-4.475735995835937,-1.84091568992618,-0.3626033181611447
12.0,0.5,-0.6080905003159849,-2.924153714566204,-0.9906895316812898,-4.54846805099745,-1.9059025965323273,-0.36524131696209144
12.0,0.6000000000000001,-0.538010819917812,-3.383799066023422,-0.8865469159223176,-4.614905251864718,-1.9866940569488318,-0.36797817896718554
12.0,0.7000000000000001,-0.4723717509700984,-3.775161476686444,-0.8052477879021254,-4.6747153631998914,-2.08210256113718,-0.37079447459506193
12.0,0.8,-0.4103576709615354,-4.086860456422906,-0.7485255329351328,-4.727599476857012,-2.190751532070323,-0.37367029530357704
12.0,0.9,-0.3513411779603468,-4.307515515100443,-0.7176191807827648,-4.773294498291666,-2.3111083296452346,-0.3765854879227903
12.0,1.0,-0.29483175772896236,-4.4257461625866865,-0.7132284629814136,-4.811575328622773,-2.4415201301779863,-0.37951988979001233
13.0,0.0,-1.1550758143373212,-0.0,-3.1721829726004374,-4.398425661458841,-3.2103568714622646,-0.3953380180203992
13.0,0.1,-1.027192420607118,-0.6261643288475567,-3.0816595947099117,-4.478798328198157,-3.206551929658001,-0.3959073498587699
13.0,0.2,-0.9166085494418742,-1.2410237851582464,-2.995317982137787,-4.55385802783141,-3.2134876363070903,-0.39651293376571384
13.0,0.30000000000000004,-0.8187449154567483,-1.8332734963952035,-2.9147142337507166,-4.623238976637619,-3.231058137273346,-0.3971505899684719
13.0,0.4,-0.7305074069052248,-2.3916085900215602,-2.84136898465525,-4.686599807432179,-3.258996330803608,-0.397815853341405
13.0,0.5,-0.6497301455647432,-2.904724193500451,-2.7767201643010244,-4.743626366800697,-3.296880623356301,-0.3985040254737037
13.0,0.6000000000000001,-0.5748516843446203,-3.361315434295009,-2.7220763558310477,-4.794034309379226,-3.3441455145105996,-0.3992102299119549
13.0,0.7000000000000001,-0.5047179101778295,-3.750077439868366,-2.6785728571846716,-4.8375714589291166,-3.400095639667797,-0.3999294697179479
13.0,0.8,-0.43845734993212604,-4.059705337683656,-2.647132499641721,-4.874019909972908,-3.4639227828098367,-0.4006566863275891
13.0,0.9,-0.37539963965962936,-4.278894255204015,-2.628433110522017,-4.903197844605522,-3.5347252783030054,-0.40138681878107246
13.0,1.0,-0.31502067663745126,-4.396339319892573,-2.6228832215832707,-4.924961042742513,-3.61152915155323,-0.402114862366918
14.0,0.0,-1.232812122878636,-0.0,-4.134368836725254,-3.9524162527725863,-3.3251425762211726,-0.518388617575055
14.0,0.1,-1.0963222092742155,-0.621672136976841,-4.11218243938806,-4.011940426374471,-3.3196537366155776,-0.5187068603068052
14.0,0.2,-0.9782960717036917,-1.2321205041787737,-4.091056737697654,-4.066634323371881,-3.3243302460411996,-0.518756784116721
14.0,0.30000000000000004,-0.8738462400404448,-1.8201213318308915,-4.071373362202469,-4.116231308837998,-3.3391007144431537,-0.5185380654065221
14.0,0.4,-0.7796703696043266,-2.3744508501582846,-4.0535042174899125,-4.1604873938763465,-3.3637403937805974,-0.5180523091929952
14.0,0.5,-0.6934568191192327,-2.8838852893860474,-4.0377999064334285,-4.199183233940006,-3.3978768682247837,-0.5173030295082404
14.0,0.6000000000000001,-0.6135390565023908,-3.337200879739271,-4.024578347486052,-4.232125939314049,-3.4409994193928597,-0.516295607062912
14.0,0.7000000000000001,-0.5386852971708821,-3.7231738514430464,-4.014114098323056,-4.2591506771473036,-3.492471737993064,-0.5150372249060925
14.0,0.8,-0.4679654180722986,-4.0305804347224665,-4.006628885291317,-4.280122044690593,-3.5515475395295857,-0.513536783143721
14.0,0.9,-0.4006639399355566,-4.248196859802624,-4.002283794437002,-4.294935199389625,-3.6173885487660895,-0.5118047941076789
14.0,1.0,-0.3362214880578098,-4.364799356908612,-4.0011735081908375,-4.303516732434331,-3.689084247514088,-0.5098532597740181
15.0,0.0,-1.3143314154985883,-0.0,-4.2843415648107275,-3.308316510611869,-2.0384787558120996,-0.6342226206212536
15.0,0.1,-1.168816151639816,-0.616883080669157,-4.277907413583866,-3.347913627867855,-2.0282090228135154,-0.6346043131425034
15.0,0.2,-1.042985574879525,-1.2226288539641463,-4.272482577967393,-3.383497675100848,-2.034687678517024,-0.6344366546115974
15.0,0.30000000000000004,-0.9316290327504699,-1.8061000125108018,-4.268174803490034,-3.414894797154464,-2.057815800781663,-0.6337208620574164
15.0,0.4,-0.8312258141261342,-2.3561592489349543,-4.265070972472828,-3.4419503653374925,-2.097241309697763,-0.6324621048318944
15.0,0.5,-0.7393114212179558,-2.861669255862438,-4.26323418987696,-3.464530245628445,-2.1523678855964414,-0.6306694424120489
15.0,0.6000000000000001,-0.6541091230620879,-3.3114927259190856,-4.262701651180851,-3.4825219062646884,-2.2223699756018553,-0.6283557158418263
15.0,0.7000000000000001,-0.5743056837287309,-3.6944923517307284,-4.2634833928499525,-3.4958353516337004,-2.3062133615539446,-0.6255373945254038
15.0,0.8,-0.4989094760872192,-3.9995308259232,-4.265561983864318,-3.5044038723787354,-2.402680573094544,-0.6222343810249394
15.0,0.9,-0.42715771003704106,-4.2154708411223325,-4.268893171202607,-3.5081846019021823,-2.510400273322656,-0.6184697770585559
15.0,1.0,-0.35845402240870583,-4.33117508995396,-4.273407445957526,-3.5071588738918935,-2.6278796264133457,-0.6142696145201223
16.0,0.0,-1.39969832985383,-0.0,-3.6555383481922155,-2.853259001486693,-1.239799829527179,-0.6858760615313686
16.0,0.1,-1.2447317290485844,-0.6118045341160606,-3.631836847670379,-2.8789030633121913,-1.226860920843615,-0.6863077178866392
16.0,0.2,-1.1107283520775553,-1.2125634497626234,-3.613562624558022,-2.9011014354091715,-1.2347550738736972,-0.6860651471485495
16.0,0.30000000000000004,-0.992139110278744,-1.7912311284701916,-3.6011054108455034,-2.9197450537566794,-1.2633617496260703,-0.6851501027783099
16.0,0.4,-0.8852146194210708,-2.336761951769266,-3.594734146801826,-2.934741769628615,-1.3122454442156881,-0.6835691881072907
16.0,0.5,-0.7873303105427792,-2.8381103011903512,-3.594587326694469,-2.9460171081019872,-1.3806667205799403,-0.6813337769876349
16.0,0.6000000000000001,-0.6965940525319059,-3.284230558263949,-3.600667992872192,-2.953514884068345,-1.4676008180488922,-0.6784598775187467
16.0,0.7000000000000001,-0.6116073136969995,-3.6640771045205596,-3.612843630940137,-2.957197668624171,-1.5717631865900406,-0.674967941136734
16.0,0.8,-0.5313140599036987,-3.9666043214906876,-3.6308509711452968,-2.9570471001651373,-1.6916410547249674,-0.6708826202832181
16.0,0.9,-0.4549019572024946,-4.180766590704835,-3.6543054530060624,-2.953064036968461,-1.8255299499625122,-0.6662324786129732
16.0,1.0,-0.3817359081419535,-4.295518293693504,-3.682714877909783,-2.9452685490937993,-1.9715739374373311,-0.6610496585294747
17.0,0.0,-1.4889685996323108,-0.0,-2.134858655650014,-2.6409864526312616,-2.204758030566883,-0.6563429428012875
17.0,0.1,-1.3241185046730188,-0.6064442739520619,-2.0660770118182867,-2.658980190946149,-2.1948733331505053,-0.6567301866645581
